N°,Fecha,Lugar,Actor o grupo social emisor,Institución y Cargo actor o grupo social emisor,Actor o grupo social Involucrado 1,Institución y Cargo actor o grupo social involucrado 1,Acontecimiento,Posición,Área,"Studio 5 – Studio 5 Noticias – Rubén Valdés Alvarado, Paola Reynaga (97.7)",Ondas del Huallaga – Noticiero Ondas del Huallaga - José Carlos Ponce de León(88.9),"Radio Noticias del Perú – Radio Noticias Huánuco Edición Central – Bequer Bejarano, Nuvith Condezo Celis, Juan Malpartida (102.5)","Primer Plano - RNP - Ítalo Guillermo, Silvia Salas (102.5)",Radio Nacional – Cuatro Suyos – Ronald Cáceres / Manuel Bejarano (100.9),Radio Sinaí - Opinión Libre - Jaime Herrera  Echevarria (90.1),Radio Rumba Perú - RTL Noticias - Koko Giles/ Juan Manuel (95.3),Radio Pulsar - El Informante - Miguel Angel Domínguez (100.5),Radio Llata - Punto de Encuentro - Carlos Chavez Firma(92.3),Radio Paraiso 96.9 - Aires de Tradición Andina - Hector Facundo Damazo,Panorama Cultural Oyonense - Maximo Samaniego - Radio Oyon (102.5),Noticiero Musical - Hector Facundo Damazo - Radio Sol - Oyon,Radio La Altura 7-9am,Radio UNHEVAL – Noticiero (96.1)
73,2022-06-06,Ayacucho,Mauro Quispe,Corresponsal de la provincia de Pachitea,,,"Lamentó que los agricultores de Pachitea estén abandonados, dejados a su suerte, con malas carreteras y pésima infraestructura, situación que parece no importarle al alcalde quien hace trabajos que no termina o los abandona.",Gris,Agropecuario,,1.0,,,,,,,,,,,,
74,2022-06-06,Ayacucho,Periodista,,Edgar Alarcón,Excongresista de la República,Informó que excontralor Edgar Alarcón reclama indemnización de 4 millones de soles luego que el Congreso de la República archivara acusación por corrupción.,Gris,Política,1.0,,,,,1.0,,,,,,,,
75,2022-06-06,Ayacucho,Periodista,,Pedro Castillo,Presidente de la República,"Mencionó que el presidente Pedro Castillo en poco más de 10 meses nombró a 56 ministros, demostrando completa informalidad. (Crítica al Gobierno)",Celeste,Gobierno Central,,1.0,,,,1.0,,,,,,,,
76,2022-06-06,Ayacucho,Periodista,,Pedro Castillo,Presidente de la República,"Indicó que la fiscalía de la Nación citó a Pedro Castillo para el 13 de junio por el caso Puente Tarada 3, además la entidad citó al exministro de Transportes y Comunicaciones Juan Silva.",Gris,Gobierno Central,,,,,,1.0,1,,,,,,,1.0
77,2022-06-06,Ayacucho,Periodista,,Universidad Nacional Hermilio Valdizán (UNHEVAL),,Comentó que entre el 10 y 11 de junio el abogado Lucas Ghersi realizara un conversatorio a llevarse a cabo en el teatrín de la Universidad Hermilio Valdizán (UNHEVAL) sobre No a la asamblea constituyente.,Verde,Política,,,,,,1.0,1,,,,,,,1.0
78,2022-06-06,Ayacucho,Periodista,,Erasmo Fernández Sixto,Gobernador regional de Huánuco,"Señaló que el gobernador regional de Huánuco, Erasmo Fernández Sixto, dispuso diversos cambios de funcionarios, entre ellos de los consultores con cargo al Fondo de Apoyo Gerencial (FAG), uno de ellos observado por la Contraloría General de la República en el 2017.",Gris,Gobierno Regional,,1.0,,,,1.0,,,,,,,,
79,2022-06-06,Ayacucho,Periodista,,Oficina Departamental de Estadística e Informática (ODEI Huánuco),,"Informó que la Oficina Departamental de Estadística e Informática (ODEI Huánuco) comunicó que en mayo el Índice de Precios al Consumidor (IPC) de Huánuco se incrementó en 0,19%.",Gris,Economía,,,,,,1.0,,,,,,,,
80,2022-06-06,Ayacucho,Periodista,,Defensoría del Pueblo,,"Comentó que la Defensoría del Pueblo de Huánuco demandó a las autoridades regionales, provinciales y distritales trabajar contra la inseguridad ciudadana, esto tras conocerse que 22 municipalidades distritales no cumplieron con aprobar su plan de seguridad ciudadana 2022.",Gris,Seguridad,,,,,,1.0,,,,,,,,
81,2022-06-06,Ayacucho,Moisés Paulino,Vecino de la provincia de Puerto Inca,José Mendoza Huertas,Director de Energía y Minas de Huánuco,"Comentó que es lamentable que a José Mendoza Huertas lo quieran sacar del cargo para nuevamente poner a un mafioso y corrupto como es el exdirector de Energía y Minas de Huánuco, Glimio Estrada Muñoz, quien permitió el lavado de oro en el río Pachitea, coludido con traficantes, rondas campesinas, generando que los bosques de Puerto Inca sean dañados. Indicó que Mendoza Huertas dijo que ya se estaría lavando oro en el río Pachitea nuevamente, en Puerto Inca, por lo que considera indignante que los funcionarios ocupen cargos para vender terrenos, vender madera como pan, y atentar con el medioambiente.",Gris,Corrupción,,,,,,1.0,,,,,,,,
82,2022-06-06,Ayacucho,Vecino del distrito de Pachas,,,,"Manifestó que en el presente año había un bono agrario WANUCHAY para todos los agricultores y poder sobrellevar el tema de los fertilizantes, sin embargo, indicó que varios agricultores vendieron sus animales, lo que sea, para poder acceder al bono el cual hasta la fecha no sale, por lo que los agricultores se sienten decepcionados.",Gris,Agropecuario,,,,,,1.0,,,,,,,,
83,2022-06-06,Ayacucho,Periodista,,Marcos Gutiérrez ,Regidor de la Municipalidad Distrital de Amarilis,Mencionó que el regidor de la Municipalidad Distrital de Amarilis Marcos Gutiérrez afirmó que el Ministerio Público tomó en consideración emitir una denuncia en contra de los organizadores responsables del accidente ocurrido en una competencia por el aniversario de Amarilis.,Gris,Municipalidad,,,,,,,,,,,,,,1.0
84,2022-06-06,Ayacucho,Periodista,,,,"Indicó que en lo que va del año los Centros de Emergencia Mujer han registrado 58 desapariciones, por lo que se exhortó a las municipalidades distritales a aprobar su plan de seguridad ciudadana 2022.",Gris,Mujer,,,,,,,1,,,,,,,1.0
85,2022-06-06,Ayacucho,Periodista,,,,"Informó que Alicorp inicia cruzada para salvar ollas comunes en Lima, con la iniciativa Ollas que Desarrollan.",Verde,Nutrición,,,,,,,1,,,,,,,
86,2022-06-06,Ayacucho,Raúl Primo,Precandidato a la provincia de Pachitea,,,"Manifestó que la región Huánuco continúa esperando los grandes proyectos y el desarrollo que tanto merece, pero lamentablemente se tiene a autoridades que no gestionan y dejaron paralizado la región.",Gris,Política,,,,,,,1,,,,,,,
87,2022-06-06,Ayacucho,Sergio Tejada,Director del INABIF,,,"Señaló que el Ministerio de la Mujer y Poblaciones Vulnerables impulsará la implementación de más Centros de Desarrollo Integral de las Familias que sirven para realizar refuerzos escolares, guarderías, talleres productivas para madres, atención de adultos mayores, entre otros. Tejada indicó que se creará un equipo de trabajo para llevar estos beneficios a las regiones con servicios mejorados.",Gris,Mujer,,,,,1,,,,,,,,,
88,2022-06-06,Ayacucho,Pilar Zárate,Periodista,,,"Señaló que en diversos colegios se están reportando peleas violentas en los exteriores de sus instalaciones al final de las clases. En ese sentido, se solicitó a las autoridades de los colegios de diferentes partes del país tomar cartas en el asunto. Por ejemplo, en Ica se creó el programa 'Quiérete'. ",Gris,Niños,,,,,1,,,,,,,,,
89,2022-06-07,Ayacucho,Periodista,,André Alencastre,Ministro de Desarrollo Agrario y Rieg,Informó que André Alencastre juró como nuevo ministro de Desarrollo Agrario y Riego en reemplazo de Javier Arce debido a los cuestionamientos y denuncias en su contra.,Gris,Gobierno Central,,,1.0,,,1.0,1,,,,,,,1.0
90,2022-06-07,Ayacucho,Periodista,,Amancio del Águila,Consejero regional de Huánuco por la provincia de Leoncio Prado,"Mencionó que el consejero por la provincia de Leoncio Prado, Amancio del Águila, propuso al Consejo Regional de Huánuco que el gobernador Erasmo Fernández convoque a los consejeros regionales para mejorar la gestión, ante el bajo porcentaje del gasto presupuestal.",Gris,Gobierno Regional,,1.0,1.0,,,1.0,1,,,,,,,
91,2022-06-07,Ayacucho,Periodista,,Municipalidad Distrital de Amarilis,,"Informó que la Municipalidad Distrital de Amarilis dio a conocer que continúa avanzando la descolmatación de la quebraba Angorragra, ubicada en el centro poblado de Llicua, obra ejecutada junto con el Ministerio de Vivienda, Construcción y Saneamiento, el Centro de Operaciones de Emergencia (COER) de Huánuco y la municipalidad de Amarilis.",Gris,Municipalidad,,1.0,1.0,,,1.0,,,,,,,,1.0
92,2022-06-07,Ayacucho,Periodista,,Gobierno Regional de Huánuco,,"Mencionó que vecinos del centro poblado La Esperanza, en el distrito de Amarilis, beben agua contaminada, además denunciaron que proyecto de agua y desagüe hay sido abandonado por el Gobierno Regional de Huánuco desde hace tres meses.",Gris,Agua,,,1.0,,,1.0,1,,,,,,,1.0
93,2022-06-07,Ayacucho,Periodista,,,,Comentó que SEDA Huánuco comunicó que el 8 de junio se realizará corte de servicio de agua potable en las zonas medias y altas de la ciudad.,Gris,Agua,,,,,,1.0,1,,,,,,,
94,2022-06-07,Ayacucho,Periodista,,Pedro Castillo,Presidente de la República,"Indicó que, desde el inicio de la gestión de Pedro Castillo, los bloqueos y paralizaciones de 9 minas le está costando al país 1160 millones de dólares; así mismo, mencionó que el gobierno de Castillo tiene el récord de 65 conflictos mineros en los últimos 6 gobiernos, y que se dejaron de pagar 348 millones de dólares en impuestos y regalías. (Crítica fuerte contra el Gobierno y a favor de la minería)",Verde,Minería,,,,,,1.0,1,,,,,,,
95,2022-06-07,Ayacucho,Periodista,,Juan Alvarado Cornelio,Exgobernador regional de Huánuco,"Sobre la situación de La Esperanza que consume agua contaminada, recordó que fue la gestión del corrupto y exgobernador Juan Alvarado Cornelio quien le dio este proyecto de agua y desagüe a una empresa del entorno de Alvarado, proyecto que iba a ejecutarse por administración directa, pero fue cambiado, y esto se lo había advertido al pueblo de La Esperanza, de no aceptar el cambio de la modalidad.",Gris,Agua,,,,,,1.0,,,,,,,,
96,2022-06-07,Ayacucho,Periodista,,Nolberto Crespo Céspedes,Director regional de Educación de Huánuco,"Informó que más de 150 colegios se encuentran inhabitables y pésimas condiciones en la región Huánuco, manifestó el director regional de Educación, Nolberto Crespo Céspedes.",Gris,Educación,,,,,,1.0,,,,,,,,
97,2022-06-07,Ayacucho,Periodista,,,,"Informó que en comuneros del distrito de Shunqui, provincia de Dos de mayo, denunciaron que la empresa china Cr20 está ocupando los terrenos correspondientes al centro poblado de Chalcan. (Protesta local contra empresa privada)",Naranja,Protesta,,,,,,1.0,,,,,,,,
98,2022-06-07,Ayacucho,Periodista,,,,Mencionó que el Centro de Salud de Amarilis amplió su horario de atención para urgencias y emergencias desde las 3 de la madrugada.,Gris,Salud,,,,,,1.0,,,,,,,,
99,2022-06-07,Ayacucho,Periodista,,,,"Comentó que sí existe un plan de desarrollo urbano, la municipalidad correspondiente debe de ejecutarlo y poder dar trabajo a la gente del lugar, además de tener una ciudad más ordenada, lo cual podría ocurrir en Pillco Marca, de la cual preguntó cómo consiguió ser distrito sin tener siquiera lo más elemental como saneamiento, solo hay tráfico de terrenos, informalidad, solo hay desorden.",Gris,Gobierno Locales,,,,,,1.0,,,,,,,,
100,2022-06-07,Ayacucho,Jorge Burgos,Vecino de la provincia Puerto Inca,,,"Manifestó que en Puerto Inca hay toda una mafia en la minería, en la que está involucrados consejeros, policías, fiscales, incluso ya lo amenazaron las comunidades nativas. Mencionó que ya denunció lo ocurrido en Puerto Inca, a donde llega gente de otros departamentos a arrasar los bosques y aprovechar la minería en el lugar (el oro).",Celeste,Minería ilegal,,,,,,1.0,,,,,,,,
101,2022-06-07,Ayacucho,Periodista,,Universidad Nacional Hermilio Valdizán (UNHEVAL),,Mencionó que se realizarán las elecciones para elegir a los representantes de pregrado y postgrado en la Universidad Nacional Hermilio Valdizán (UNHEVAL). ,Gris,Educación,,,,,,,,,,,,,,1.0
102,2022-06-07,Ayacucho,Periodista,,Universidad Nacional Hermilio Valdizán (UNHEVAL),,Informó que en la Universidad Nacional Hermilio Valdizán (UNHEVAL) se implementaron paneles solares con el objetivo de reducir la contaminación ambiental.,Gris,Medioambiente,,,,,,,,,,,,,,1.0
103,2022-06-07,Ayacucho,Periodista,,,,"Mencionó que en la ciudad de Huánuco se continúa vacunando a personas mayores de 60 años, además de personal de salud, con la cuarta dosis contra la Covid-19.",Gris,Salud,,,,,,,1,,,,,,,1.0
104,2022-06-07,Ayacucho,Periodista,,,,"Informó que policías recogieron dos cuerpos en la orilla del río Huallaga, ambos sin identificar debido a su avanzando estado de descomposición.",Gris,Sociedad,,,,,,,1,,,,,,,1.0
105,2022-06-07,Ayacucho,Periodista,,Universidad Nacional Hermilio Valdizán (UNHEVAL),,"Señaló que se conformó el comité técnico para la elaboración del plan maestro del parque científico tecnológico de Huánuco, el cual será administrado por la Universidad Nacional Hermilio Valdizán (UNHEVAL).",Gris,Educación,,,,,,,,,,,,,,1.0
106,2022-06-07,Ayacucho,Jimmy Flores Vidal,Docente de la Facultad de Ingeniería Industrial y Sistemas de UNHEVAL,Universidad Nacional Hermilio Valdizán (UNHEVAL),,"Comentó que en la UNHEVAL se implementó un módulo de paneles solares para reducir la contaminación y velar por el medio ambiente, utilizando energías limpias y renovables, y permitan abastecer a los estudiantes para recargar sus celulares o laptops. Por otro lado, informó que se está trabajando en un proyecto a largo plazo de contar con aulas ecológicas, incluso ya se está avanzando, colocando paneles solares en algunas aulas, suprimiendo el uso de energía eléctrica.",Gris,Educación,,,,,,,,,,,,,,1.0
107,2022-06-07,Ayacucho,Víctor Cuadros Ojeda,Vicerrector de Investigación de la UNHEVAL,"Consejo Nacional de Ciencia, Tecnología e Innovación Tecnológica (CONCYTEC)",,"Comentó que se conformó el equipo técnico que se encargará de elaborar el plan maestro del parque científico tecnológico de Huánuco, en su primera etapa, serán tres etapas, se contará con el asesoramiento del Consejo Nacional de Ciencia, Tecnología e Innovación Tecnológica (CONCYTEC), se formará una comisión externa vinculada a los principales actores de Huánuco, como la cámara de comercio, el gobierno regional, entre otros, y estos forman parte de este trabajo. (Trabajo articulado entre el Estado, empresa y sociedad civil)",Celeste,Educación,,,,,,,,,,,,,,1.0
108,2022-06-07,Ayacucho,José Guerra,Corresponsal de Huánuco,,,"Informó que por los alrededores del colegio Leoncio Prado una persona estaba vendiendo chocolates, pero con marihuana, personaje que fue perseguido por la policía y capturado.",Gris,Sociedad,,,,,,,1,,,,,,,
109,2022-06-07,Ayacucho,Periodista,,Luis Picón,Congresista de la República,Informó que intervinieron el local del congresista Luis Picón ante denuncia a su asesor congresal realizaba campaña proselitista a favor de la esposa del congresista que postula al Gobierno Regional de Huánuco.,Gris,Política,,,1.0,,,,1,,,,,,,
110,2022-06-07,Ayacucho,Periodista,,,,Mencionó que pobladores de Chinchao acordaron pedir la destitución de la prefecta regional Edith Ramírez por ponerles un subprefecto que no es del lugar y que esto se debería a favores políticos.,Gris,Gobierno Central,,,1.0,,,,1,,,,,,,
111,2022-06-07,Ayacucho,Periodista,,,,"Recordó que los subprefectos y prefectos no cumplen una labor determinante o importante en el desarrollo de la sociedad, y que el Estado está gastando recursos en estos cargos, en la oficina, secretaria, sueldos relacionados en las prefecturas y subprefecturas.",Gris,Gobierno Central,,,1.0,,,,,,,,,,,
112,2022-06-07,Ayacucho,Humberto Quispe Domínguez,Dirigente del distrito de Chinchao,Edith Ramírez,Prefecta regional de Huánuco,"Respecto al eventual pedido de la destitución de la prefecta de Huánuco, mencionó que todo parte por el respeto al distrito y sus derechos como pueblo, porque lamentablemente la prefecta Edith Ramírez puso y permitió la designación de una persona que no tiene DNI de Chinchao, y eso preocupa mucho porque es alguien que no conoce la problemática del distrito. Indicó que, en los próximos días, si la prefecta no se retracte en esta decisión, se pedirá que dé un paso al costado, o que el presidente Pedro Castillo o el ministro del Interior la destituya.",Gris,Gobierno Central,1.0,,1.0,,,,,,,,,,,
